method,V_in,E_in,V_out,E_out,removed_lrc,removed_orc,prep_time,community_time,total_runtime,edge_reduction_pct
LRC-only,298,1159,64.0,187.0,235.0,0.0,0.02369175001513213,0.002439673679570357,0.026131423694702487,83.86540120793788
LRC-only + Leiden,298,1159,64.0,187.0,235.0,0.0,0.02369175001513213,0.0021742221627694867,0.025865972177901615,83.86540120793788
LRC→ORC combo,298,1159,177.0,629.0,58.0,46.0,1.4019835419021547,0.008893236032842347,1.410876777934997,45.7290767903365
LRC→ORC combo + Leiden,298,1159,177.0,629.0,58.0,46.0,1.4019835419021547,0.005722048517782241,1.407705590419937,45.7290767903365
ORC-only,298,1159,298.0,1159.0,0.0,0.0,1.9032139170449227,0.01630329864565283,1.9195172156905755,0.0
ORC-only + Leiden,298,1159,298.0,1159.0,0.0,0.0,1.9032139170449227,0.009608139012319347,1.912822056057242,0.0
Plain Leiden,298,1159,298.0,1159.0,0.0,0.0,0.0,0.009243618017838648,0.009243618017838648,0.0
Plain Louvain,298,1159,298.0,1159.0,0.0,0.0,0.0,0.015850951177223276,0.015850951177223276,0.0
