method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
LRC-only,louvain,42,0.013752631814720244,0.04404592314224394,64,64,187,1,0.027306417003273964,0.02369175001513213,0.0036146669881418347,235,0,20.0,,,,-1.0125000000000002,
ORC-only,louvain,42,0.5153181043761436,0.7433234872352597,298,298,1159,1,1.921799459028989,1.9032139170449227,0.018585541984066367,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,42,0.5473697580727311,0.7009578505027474,177,177,629,1,1.409937416901812,1.4019835419021547,0.007953874999657273,58,46,5.0,5.0,0.5,5.0,-1.371648745519713,-0.12642885366249937
