method,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,n_eval_mean,V_mean,E_mean,removed_lrc_mean,removed_orc_mean
LRC→ORC combo + Leiden,0.5639880235718951,0.005717134440337576,0.7221408990452275,0.009118360876475362,1.407705590419937,0.00036251334205140897,177.0,177.0,629.0,58.0,46.0
LRC→ORC combo,0.5600046086465871,0.009786913170872626,0.7175615863575032,0.012861198490059221,1.410876777934997,0.0012107070295169357,177.0,177.0,629.0,58.0,46.0
Plain Leiden,0.5313834737990267,0.002490310934692706,0.7767505528523779,0.002993831696396456,0.009243618017838648,0.0005637748194657141,298.0,298.0,1159.0,0.0,0.0
Plain Louvain,0.5313834737990267,0.002490310934692701,0.7767505528523779,0.00299383169639642,0.015850951177223276,0.0030038341213318824,298.0,298.0,1159.0,0.0,0.0
ORC-only + Leiden,0.5156116318885341,0.0007189926308251751,0.7437403322672078,0.0010210576300870534,1.912822056057242,0.0005022318958088755,298.0,298.0,1159.0,0.0,0.0
ORC-only,0.5153918086543813,0.00018053787354257626,0.7433448256447263,5.226821511575795e-05,1.9195172156905755,0.0018032811931161107,298.0,298.0,1159.0,0.0,0.0
LRC-only + Leiden,0.0052642414016150114,0.010987775914947514,0.035352995130769095,0.010794453106463023,0.025865972177901615,0.00014206170619399783,64.0,64.0,187.0,235.0,0.0
LRC-only,0.003549719829687421,0.012662517059114208,0.0336029633273723,0.012046139523181978,0.026131423694702487,0.0003234340375491483,64.0,64.0,187.0,235.0,0.0
