lrc_pct,orc_pct,alpha,iterations,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,V_mean,E_mean,n_runs,ARI,NMI,Runtime
10,10,0.25,5,0.20576358181883983,0.07564251696632432,0.3680699821768154,0.040480217787218456,0.7639214717880046,0.00019608294591815328,51.0,171.0,6,0.206 ± 0.076,0.368 ± 0.040,0.76 ± 0.00
15,0,0.25,5,0.5215223314515044,0.017381365884031368,0.6392999045772906,0.008689445967439795,0.5462946034579849,0.0003667979797108914,81.0,321.0,6,0.522 ± 0.017,0.639 ± 0.009,0.55 ± 0.00
15,2,0.25,5,0.5303660646758103,0.018447755534028634,0.6381339081697185,0.0077281331507906715,0.5349006461813891,0.00020862614516685337,81.0,314.0,6,0.530 ± 0.018,0.638 ± 0.008,0.53 ± 0.00
15,5,0.25,5,0.5263423173526127,0.03352894748574573,0.6420314898417582,0.01906024309133936,0.5388901598344091,0.00027516319585935297,81.0,304.0,6,0.526 ± 0.034,0.642 ± 0.019,0.54 ± 0.00
15,10,0.25,5,0.14175809926374786,0.04800926877925506,0.34211367769549006,0.027363978755911643,0.5387068056928305,0.00021354369153537696,51.0,176.0,6,0.142 ± 0.048,0.342 ± 0.027,0.54 ± 0.00
20,0,0.25,5,0.018484047208856946,0.002339664677245624,0.05674037169866336,0.003324806949635381,0.3754402363556437,0.0004750519809113374,64.0,187.0,6,0.018 ± 0.002,0.057 ± 0.003,0.38 ± 0.00
20,2,0.25,5,0.02103191381294803,0.0006266978064040996,0.061945908783567254,0.0004382456657672072,0.3807387574634049,0.0006026098436114344,64.0,183.0,6,0.021 ± 0.001,0.062 ± 0.000,0.38 ± 0.00
20,5,0.25,5,0.020087528559831088,0.005737866806905039,0.05726166742729144,0.00611275999889102,0.3771157361722241,7.811047238150725e-05,64.0,177.0,6,0.020 ± 0.006,0.057 ± 0.006,0.38 ± 0.00
20,10,0.25,5,0.017687013513301455,0.004578534422275584,0.04983493376654239,0.004705496677315269,0.37245302749215625,0.00016842170603464365,64.0,168.0,6,0.018 ± 0.005,0.050 ± 0.005,0.37 ± 0.00
0,0,0.5,5,0.5153918086543813,0.00018053787354257626,0.7433448256447263,5.226821511575795e-05,1.5247154311800841,0.0018093961809428133,298.0,1159.0,6,0.515 ± 0.000,0.743 ± 0.000,1.52 ± 0.00
0,2,0.5,5,0.5191728945365924,0.00018076838882278583,0.7511854645010426,5.191399603938379e-05,1.5151906806471136,0.001034891689644118,298.0,1135.0,6,0.519 ± 0.000,0.751 ± 0.000,1.52 ± 0.00
0,5,0.5,5,0.5193204913080062,0.00024252624335452215,0.751227852101311,6.964993447655008e-05,1.5463199589964158,0.0026057144843288247,298.0,1101.0,6,0.519 ± 0.000,0.751 ± 0.000,1.55 ± 0.00
0,10,0.5,5,0.5619563294995225,0.0,0.7218039069593565,4.965068306494546e-17,1.527867118139208,0.0012515984972182293,177.0,626.0,6,0.562 ± 0.000,0.722 ± 0.000,1.53 ± 0.00
2,0,0.5,5,0.7157187136809225,0.0,0.8179927400425265,0.0,1.2468597219946485,0.001074011474167168,244.0,941.0,6,0.716 ± 0.000,0.818 ± 0.000,1.25 ± 0.00
2,2,0.5,5,0.6391941770293393,0.0592756512055641,0.7888448007943668,0.02257789665687749,1.2653570620168466,0.0012665928890206164,244.0,922.0,6,0.639 ± 0.059,0.789 ± 0.023,1.27 ± 0.00
