method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc,lrc_pct,orc_pct,status,error
LRC→ORC combo,louvain,0,0.6099481901251881,0.7725056238584118,244,244,873,1,1.1493622499983758,1.1370297080138698,0.012332541984505951,58,46,5,5,0.25,5,-1.371648745519713,-0.1209293517417253,5,5,ok,
LRC→ORC combo,louvain,1,0.6099481901251881,0.7725056238584119,244,244,873,1,1.1474715000367723,1.1370297080138698,0.010441792022902519,58,46,5,5,0.25,5,-1.371648745519713,-0.1209293517417253,5,5,ok,
LRC→ORC combo,louvain,2,0.6099481901251881,0.7725056238584119,244,244,873,1,1.1460807080147788,1.1370297080138698,0.00905100000090897,58,46,5,5,0.25,5,-1.371648745519713,-0.1209293517417253,5,5,ok,
LRC→ORC combo,louvain,3,0.6099481901251881,0.7725056238584119,244,244,873,1,1.1481558750383556,1.1370297080138698,0.011126167024485767,58,46,5,5,0.25,5,-1.371648745519713,-0.1209293517417253,5,5,ok,
LRC→ORC combo,louvain,4,0.6099481901251881,0.7725056238584118,244,244,873,1,1.1483887499780394,1.1370297080138698,0.011359041964169592,58,46,5,5,0.25,5,-1.371648745519713,-0.1209293517417253,5,5,ok,
LRC→ORC combo,louvain,42,0.6099481901251881,0.7725056238584119,244,244,873,1,1.1471353740198538,1.1370297080138698,0.010105666005983949,58,46,5,5,0.25,5,-1.371648745519713,-0.1209293517417253,5,5,ok,
LRC→ORC combo,louvain,0,0.4990875536834017,0.6869273355838252,172,172,579,1,1.152197332936339,1.1444569999584928,0.007740332977846265,58,92,5,10,0.25,5,-1.371648745519713,-0.08806521202620314,5,10,ok,
LRC→ORC combo,louvain,1,0.4990875536834017,0.686927335583825,172,172,579,1,1.151697416906245,1.1444569999584928,0.007240416947752237,58,92,5,10,0.25,5,-1.371648745519713,-0.08806521202620314,5,10,ok,
LRC→ORC combo,louvain,2,0.4990875536834017,0.686927335583825,172,172,579,1,1.1515089579625055,1.1444569999584928,0.007051958004012704,58,92,5,10,0.25,5,-1.371648745519713,-0.08806521202620314,5,10,ok,
LRC→ORC combo,louvain,3,0.5179483549359373,0.6949791111029346,172,172,579,1,1.1522343749529682,1.1444569999584928,0.0077773749944753945,58,92,5,10,0.25,5,-1.371648745519713,-0.08806521202620314,5,10,ok,
LRC→ORC combo,louvain,4,0.4990875536834017,0.686927335583825,172,172,579,1,1.1516014999360777,1.1444569999584928,0.007144499977584928,58,92,5,10,0.25,5,-1.371648745519713,-0.08806521202620314,5,10,ok,
LRC→ORC combo,louvain,42,0.5235383197669299,0.697636546689633,172,172,579,1,1.1540800419752486,1.1444569999584928,0.00962304201675579,58,92,5,10,0.25,5,-1.371648745519713,-0.08806521202620314,5,10,ok,
LRC→ORC combo,louvain,0,0.6291968848322291,0.7494165964487385,147,147,556,1,0.7767909580143169,0.7707312499987893,0.006059708015527576,116,0,10,0,0.25,5,-1.1903386372909015,,10,0,ok,
LRC→ORC combo,louvain,1,0.6291968848322291,0.7494165964487386,147,147,556,1,0.7783612079801969,0.7707312499987893,0.007629957981407642,116,0,10,0,0.25,5,-1.1903386372909015,,10,0,ok,
LRC→ORC combo,louvain,2,0.6291968848322291,0.7494165964487385,147,147,556,1,0.7801228750031441,0.7707312499987893,0.009391625004354864,116,0,10,0,0.25,5,-1.1903386372909015,,10,0,ok,
LRC→ORC combo,louvain,3,0.61269269161487,0.7421558243531042,147,147,556,1,0.7784580419538543,0.7707312499987893,0.007726791955064982,116,0,10,0,0.25,5,-1.1903386372909015,,10,0,ok,
LRC→ORC combo,louvain,4,0.61269269161487,0.7421558243531043,147,147,556,1,0.7778574170079082,0.7707312499987893,0.007126167009118944,116,0,10,0,0.25,5,-1.1903386372909015,,10,0,ok,
LRC→ORC combo,louvain,42,0.61269269161487,0.7421558243531042,147,147,556,1,0.782826250011567,0.7707312499987893,0.012095000012777746,116,0,10,0,0.25,5,-1.1903386372909015,,10,0,ok,
LRC→ORC combo,louvain,0,0.6291968848322291,0.7494165964487385,147,147,543,1,0.779047374962829,0.7712167499703355,0.00783062499249354,116,13,10,2,0.25,5,-1.1903386372909015,-0.19420072234015429,10,2,ok,
LRC→ORC combo,louvain,1,0.5858377117428881,0.7190536047186457,147,147,543,1,0.7775575409759767,0.7712167499703355,0.006340791005641222,116,13,10,2,0.25,5,-1.1903386372909015,-0.19420072234015429,10,2,ok,
LRC→ORC combo,louvain,2,0.61269269161487,0.7421558243531042,147,147,543,1,0.7775853339699097,0.7712167499703355,0.006368583999574184,116,13,10,2,0.25,5,-1.1903386372909015,-0.19420072234015429,10,2,ok,
LRC→ORC combo,louvain,3,0.61269269161487,0.7421558243531042,147,147,543,1,0.7811557919485494,0.7712167499703355,0.009939041978213936,116,13,10,2,0.25,5,-1.1903386372909015,-0.19420072234015429,10,2,ok,
LRC→ORC combo,louvain,4,0.61269269161487,0.7421558243531042,147,147,543,1,0.7775247499812394,0.7712167499703355,0.006308000010903925,116,13,10,2,0.25,5,-1.1903386372909015,-0.19420072234015429,10,2,ok,
LRC→ORC combo,louvain,42,0.61269269161487,0.7421558243531043,147,147,543,1,0.7776330829365179,0.7712167499703355,0.006416332966182381,116,13,10,2,0.25,5,-1.1903386372909015,-0.19420072234015429,10,2,ok,
