seed,lrc_pct,orc_pct,alpha,p_in,p_out,ARI,NMI,Runtime,Prep_time,Community_time,V,E,status
0,0,0,0.5,0.07487602151288678,0.0029061998931052915,0.5153181043761436,0.7433234872352597,2.737514416920021,2.7205601249588653,0.016954291961155832,298,1159,ok
1,0,0,0.5,0.07487602151288678,0.0029061998931052915,0.5153181043761436,0.7433234872352597,2.738515999983065,2.7205601249588653,0.017955875024199486,298,1159,ok
2,0,0,0.5,0.07487602151288678,0.0029061998931052915,0.51576033004557,0.7434515176920593,2.7410206249915063,2.7205601249588653,0.020460500032640994,298,1159,ok
3,0,0,0.5,0.07487602151288678,0.0029061998931052915,0.5153181043761436,0.7433234872352598,2.7409923339728266,2.7205601249588653,0.020432209013961256,298,1159,ok
4,0,0,0.5,0.07487602151288678,0.0029061998931052915,0.5153181043761436,0.7433234872352597,2.741320417029783,2.7205601249588653,0.020760292070917785,298,1159,ok
42,0,0,0.5,0.07487602151288678,0.0029061998931052915,0.5153181043761436,0.7433234872352597,2.7357135419733822,2.7205601249588653,0.01515341701451689,298,1159,ok
0,0,10,0.5,0.07487602151288678,0.0029061998931052915,0.5619563294995225,0.7218039069593565,1.9156171260401607,1.9049339590128511,0.010683167027309537,177,626,ok
1,0,10,0.5,0.07487602151288678,0.0029061998931052915,0.5619563294995225,0.7218039069593564,1.9141282929340377,1.9049339590128511,0.009194333921186626,177,626,ok
2,0,10,0.5,0.07487602151288678,0.0029061998931052915,0.5619563294995225,0.7218039069593565,1.9158500010380521,1.9049339590128511,0.010916042025201023,177,626,ok
3,0,10,0.5,0.07487602151288678,0.0029061998931052915,0.5619563294995225,0.7218039069593565,1.9134052090812474,1.9049339590128511,0.00847125006839633,177,626,ok
4,0,10,0.5,0.07487602151288678,0.0029061998931052915,0.5619563294995225,0.7218039069593565,1.912309959065169,1.9049339590128511,0.007376000052317977,177,626,ok
42,0,10,0.5,0.07487602151288678,0.0029061998931052915,0.5619563294995225,0.7218039069593565,1.9151029590284452,1.9049339590128511,0.010169000015594065,177,626,ok
0,0,20,0.5,0.07487602151288678,0.0029061998931052915,0.0022890438039746123,0.04659645459796951,2.399462750996463,2.3968726670136675,0.002590083982795477,43,167,ok
1,0,20,0.5,0.07487602151288678,0.0029061998931052915,-0.007969995311767463,0.036712297039831476,2.3997472500195727,2.3968726670136675,0.0028745830059051514,43,167,ok
2,0,20,0.5,0.07487602151288678,0.0029061998931052915,0.017466937582433253,0.06562676001629182,2.3989778340328485,2.3968726670136675,0.0021051670191809535,43,167,ok
3,0,20,0.5,0.07487602151288678,0.0029061998931052915,0.007050943063634761,0.0508811377144564,2.4001055419212207,2.3968726670136675,0.003232874907553196,43,167,ok
4,0,20,0.5,0.07487602151288678,0.0029061998931052915,0.02081292850146915,0.060306218882477,2.403309041983448,2.3968726670136675,0.006436374969780445,43,167,ok
42,0,20,0.5,0.07487602151288678,0.0029061998931052915,-0.000784960163271714,0.04191560936847459,2.399271124973893,2.3968726670136675,0.0023984579602256417,43,167,ok
0,0,30,0.5,0.07487602151288678,0.0029061998931052915,0.012540167724743319,0.054435416974058105,2.544913832913153,2.5428137909621,0.0021000419510528445,43,129,ok
1,0,30,0.5,0.07487602151288678,0.0029061998931052915,0.012540167724743319,0.054435416974058105,2.545356081915088,2.5428137909621,0.002542290952987969,43,129,ok
2,0,30,0.5,0.07487602151288678,0.0029061998931052915,-0.008952422207782832,0.034961005495897854,2.54727474891115,2.5428137909621,0.004460957949049771,43,129,ok
3,0,30,0.5,0.07487602151288678,0.0029061998931052915,-0.008952422207782832,0.034961005495897854,2.5467105410061777,2.5428137909621,0.003896750044077635,43,129,ok
4,0,30,0.5,0.07487602151288678,0.0029061998931052915,0.012540167724743319,0.054435416974058105,2.544697874924168,2.5428137909621,0.0018840839620679617,43,129,ok
42,0,30,0.5,0.07487602151288678,0.0029061998931052915,0.012540167724743319,0.054435416974058105,2.5448345410404727,2.5428137909621,0.0020207500783726573,43,129,ok
0,0,40,0.5,0.07487602151288678,0.0029061998931052915,0.005604483586869495,0.05554341191627274,2.6121883761370555,2.6101880420465022,0.002000334090553224,36,80,ok
1,0,40,0.5,0.07487602151288678,0.0029061998931052915,0.005604483586869495,0.05554341191627274,2.611556624993682,2.6101880420465022,0.001368582947179675,36,80,ok
2,0,40,0.5,0.07487602151288678,0.0029061998931052915,-0.006535947712418301,0.04560571620045476,2.611675209016539,2.6101880420465022,0.0014871669700369239,36,80,ok
