method,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,Input_Evaluation_Nodes,Output_Nodes,Output_Edges,Prep_Time_mean,Community_Time_mean
ORC-only + Leiden,0.554225692195306,0.018005978400520806,0.8007128221801368,0.004334936714692319,27.569225533807185,0.0025615374210649455,4508.0,4508.0,12863.0,27.426095540984534,0.14312999282265082
ORC-only,0.54889919354702,0.023861962133119228,0.7941584280595705,0.005098896599131423,27.676486832487473,0.010092915604016395,4508.0,4508.0,12863.0,27.426095540984534,0.25039129150294076
LRC→ORC combo,0.4705408211019448,0.018607359160847232,0.7827117187779357,0.00650122240039175,27.711190583465697,0.13529265556732537,4060.0,4060.0,11206.0,27.384671124978922,0.32651945848677616
LRC→ORC combo + Leiden,0.4544934379664786,0.013311645394029547,0.7793533236239202,0.0037715664419840454,27.51399622197884,0.010486029905300903,4060.0,4060.0,11206.0,27.384671124978922,0.12932509699991593
Plain Louvain,0.44853996663587226,0.006627782328951622,0.7939460170396577,0.004266639526304824,0.24753461801446974,0.01760759730813453,4508.0,4508.0,12863.0,0.0,0.24753461801446974
Plain Leiden,0.44326429312938465,0.006903639287049018,0.7947202190534752,0.0026421901277064253,0.14545832615112886,0.0035254042785795247,4508.0,4508.0,12863.0,0.0,0.14545832615112886
LRC-only,0.18669390838206992,0.0046791184061094945,0.5391852534819885,0.002991139262455401,0.10395643016090617,0.001370226598211589,465.0,465.0,1175.0,0.08534370799316093,0.018612722167745233
LRC-only + Leiden,0.18152789501578973,0.004147823502967858,0.5357056549007116,0.002313723620182621,0.09989522933028638,0.00020635631858868195,465.0,465.0,1175.0,0.08534370799316093,0.01455152133712545
