method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
ORC-only + Leiden,leiden,2,0.5502308567362938,0.7999811001923205,4508,4508,12863,1,27.56789308297448,27.426095540984534,0.14179754198994488,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,2,0.4601027832106709,0.7816570353401302,4060,4060,11206,1,27.508001832989976,27.384671124978922,0.1233307080110535,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
Plain Louvain,louvain,3,0.44607486936038393,0.7919324996499796,4508,4508,12863,1,0.2512320840032771,0.0,0.2512320840032771,0,0,,,,,,
Plain Leiden,leiden,3,0.43659763967179016,0.7945379098236113,4508,4508,12863,1,0.1429047909914516,0.0,0.1429047909914516,0,0,,,,,,
LRC-only,louvain,3,0.19105550788887044,0.5416094390626758,465,465,1175,1,0.10508629097603261,0.08534370799316093,0.01974258298287168,1302,0,10.0,,,,-0.75,
ORC-only,louvain,3,0.5184920537401857,0.7943576649369357,4508,4508,12863,1,27.66694116598228,27.426095540984534,0.2408456249977462,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,3,0.48672418359284825,0.7863127831739778,4060,4060,11206,1,27.59265983296791,27.384671124978922,0.2079887079889886,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
LRC-only + Leiden,leiden,3,0.18268660268042092,0.5373603678394339,465,465,1175,1,0.09958154201740399,0.08534370799316093,0.014237834024243057,1302,0,10.0,,,,-0.75,
ORC-only + Leiden,leiden,3,0.5531062320959136,0.7996345273001914,4508,4508,12863,1,27.5693217489752,27.426095540984534,0.143226207990665,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,3,0.47100388114645136,0.778526159410376,4060,4060,11206,1,27.51324116595788,27.384671124978922,0.12857004097895697,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
Plain Louvain,louvain,4,0.4455221474283929,0.7909673226556578,4508,4508,12863,1,0.2345722920144908,0.0,0.2345722920144908,0,0,,,,,,
Plain Leiden,leiden,4,0.434134911273544,0.7916834477911878,4508,4508,12863,1,0.1450571659952402,0.0,0.1450571659952402,0,0,,,,,,
