method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
Plain Louvain,louvain,42,0.4501216586210445,0.7919927915618113,4508,4508,12863,1,0.2844345000339672,0.0,0.2844345000339672,0,0,,,,,,
Plain Leiden,leiden,42,0.4518191072412897,0.7953235631374043,4508,4508,12863,1,0.1443138339673169,0.0,0.1443138339673169,0,0,,,,,,
LRC-only,louvain,42,0.18196779480832845,0.5354779122795786,465,465,1175,1,0.10540441598277539,0.08534370799316093,0.020060707989614457,1302,0,10.0,,,,-0.75,
LRC-only + Leiden,leiden,42,0.17380498599196792,0.5313923249576963,465,465,1175,1,0.09963766601867974,0.08534370799316093,0.014293958025518805,1302,0,10.0,,,,-0.75,
ORC-only,louvain,42,0.5731841880964843,0.7998135120704853,4508,4508,12863,1,27.667836165986955,27.426095540984534,0.24174062500242144,0,0,,0.0,0.5,5.0,,
ORC-only + Leiden,leiden,42,0.5282039541773921,0.7937316895533038,4508,4508,12863,1,27.567821540986188,27.426095540984534,0.14172600000165403,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,42,0.47449820018745215,0.7847749384896638,4060,4060,11206,1,27.613682291994337,27.384671124978922,0.22901116701541469,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
LRC→ORC combo + Leiden,leiden,42,0.43111096498951007,0.7755861365382528,4060,4060,11206,1,27.51257129193982,27.384671124978922,0.1279001669608988,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
