Method,ARI,NMI,Runtime (s),Input Nodes,Input Edges,Output Nodes,Output Edges,Edge Reduction (%)
LRC-only,0.187 ± 0.005,0.539 ± 0.003,0.10 ± 0.00,4508,12863,465,1175,90.87
ORC-only,0.549 ± 0.024,0.794 ± 0.005,27.68 ± 0.01,4508,12863,4508,12863,0.0
LRC→ORC combo,0.471 ± 0.019,0.783 ± 0.007,27.71 ± 0.14,4508,12863,4060,11206,12.88
