lrc_pct,orc_pct,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,Prep_time_mean,Community_time_mean,V_mean,E_mean
0,0,0.54889919354702,0.023861962133119228,0.7941584280595705,0.005098896599131423,29.456630396016408,0.10467093178658107,29.184140375000425,0.2724900210159831,4508.0,12863.0
0,10,0.4908118635681336,0.010165087613629244,0.7762993495464542,0.004143294800822834,32.31923294449613,0.017931205963353777,32.1247555000009,0.19447744449522966,3820.0,10436.0
0,20,0.41277262357660754,0.006606469408893601,0.7298614187226414,0.003017087940310419,28.34534022231431,0.0076879065893113345,28.270017249975353,0.07532297233895709,1579.0,4793.0
0,30,0.1746400388268925,0.016215082087867486,0.18577561666699258,0.008481501352085221,42.522229027352296,0.00024135941049274168,42.51874891598709,0.0034801113652065396,36.0,514.0
0,40,0.3742223629093389,0.07720200534331512,0.2857451101161527,0.04020526084081009,28.019349853760406,0.00014342164048053747,28.01699358294718,0.0023562708132279417,36.0,233.0
0,50,0.18809989406162744,0.0020796709370587934,0.19128441590379222,0.0034604591607145384,28.041495110975422,8.99835325813529e-05,28.040377374971285,0.0011177360041377444,36.0,75.0
10,0,0.2119583544549003,0.00034741100529721595,0.5772635631758624,0.001969231236453827,2.366646757329969,0.0019074390138236652,2.3505467500071973,0.016100007322772097,465.0,1175.0
10,10,0.22652837865736022,0.0012205744275691286,0.4011730837349725,0.006118574762457993,2.785802028277734,0.000570479230847201,2.7812930839136243,0.004508944364109387,130.0,329.0
10,20,0.0,0.0,0.0,0.0,2.460012576348769,0.000218784486749814,2.457949750008993,0.002062826339776317,49.0,190.0
10,30,0.0,0.0,0.0,0.0,2.649179548762428,0.0001394486551433488,2.6478592499624938,0.0013202987999344866,23.0,110.0
10,40,0.0,0.0,0.0,0.0,2.810993389323509,0.00019399470776629456,2.809945416986011,0.0010479723374980192,23.0,72.0
10,50,0.0,0.0,0.0,0.0,2.9550869717689543,0.00014854854453440243,2.95392662496306,0.0011603468058941264,23.0,66.0
20,0,0.12014841464269392,0.0,0.4359628754343368,0.0,0.8659695074893534,0.00032841746373140127,0.861079083988443,0.004890423500910401,147.0,267.0
20,10,0.0,0.0,0.0,0.0,0.9142109659733251,0.0001394103494798809,0.9129380839876831,0.001272881985642016,37.0,95.0
20,20,0.0,0.0,0.0,0.0,0.922039208371037,0.00010343120695358981,0.9210743750445545,0.0009648333264825245,30.0,76.0
20,30,0.0,0.0,0.0,0.0,0.9312969374780854,0.0002181191082980006,0.930711374967359,0.0005855625107263526,10.0,26.0
20,40,0.0,0.0,0.0,0.0,0.9302106810112795,0.00013482996892882115,0.9297426670091227,0.0004680140021567543,10.0,16.0
20,50,0.0,0.0,0.0,0.0,1.0932667778106406,0.00013355439809042933,1.0928276249906048,0.00043915282003581524,10.0,14.0
30,0,0.0,0.0,0.0,0.0,0.7544747218683673,0.00018457380635136426,0.7524458330590278,0.002028888809339454,53.0,143.0
30,10,0.0,0.0,0.0,0.0,0.7500002081117904,0.00023324749152284276,0.7483546249568462,0.001645583154944082,45.0,115.0
30,20,0.0,0.0,0.0,0.0,1.0979745621443726,0.00013566168318375772,1.097442458034493,0.0005321041098795831,12.0,25.0
30,30,0.0,0.0,0.0,0.0,0.78308509705433,0.00013882097224123658,0.7824228330282494,0.0006622640260805687,11.0,28.0
30,40,0.0,0.0,0.0,0.0,0.7988659644615836,0.00010825806597607132,0.7982896659523249,0.0005762985092587769,11.0,25.0
30,50,0.0,0.0,0.0,0.0,0.7204887570114806,9.526878598889838e-05,0.7199875420192257,0.0005012149922549725,11.0,25.0
40,0,0.0,0.0,0.0,0.0,0.7185355067291918,0.00032402471337280155,0.7169863749295473,0.0015491317996444802,45.0,85.0
40,10,0.0,0.0,0.0,0.0,0.6654275555047207,0.00012546977070191192,0.6649486250244081,0.00047893048031255603,9.0,19.0
40,20,0.0,0.0,0.0,0.0,0.5911199929153858,0.00010747497537905647,0.5906988749047741,0.00042111801061158377,8.0,18.0
40,30,0.0,0.0,0.0,0.0,0.6118229233931439,9.395556853080946e-05,0.611403749906458,0.00041917348668600124,8.0,18.0
40,40,0.0,0.0,0.0,0.0,0.6512230488588102,0.00010749950743590431,0.6508787500206381,0.00034429883817210793,6.0,10.0
40,50,0.0,0.0,0.0,0.0,0.8730315410648473,0.00015050684226957503,0.8726508748950437,0.0003806661698035896,6.0,10.0
50,0,0.0,0.0,0.0,0.0,2.4154894380092933,0.0004368084788851191,2.4120095419930294,0.0034798960162637136,32.0,495.0
50,10,0.0,0.0,0.0,0.0,2.4558746244874783,0.000291381893824485,2.4529245829908177,0.0029500414966605604,32.0,445.0
50,20,0.0,0.0,0.0,0.0,2.5644850832565376,0.00022461151433042468,2.5616258749505505,0.002859208305987219,30.0,360.0
50,30,0.0,0.0,0.0,0.0,2.329183090439377,0.0001459241049386231,2.3267130000749603,0.0024700903644164405,30.0,278.0
50,40,0.0,0.0,0.0,0.0,2.012561417145965,0.00013836194642682494,2.0103537919931114,0.002207625152853628,30.0,278.0
50,50,0.0,0.0,0.0,0.0,1.9487068331800401,0.00021710228485111283,1.946872083004564,0.0018347501754760742,30.0,194.0
