seed,lrc_pct,orc_pct,alpha,p_in,p_out,ARI,NMI,Runtime,Prep_time,Community_time,V,E,status
0,0,0,0.5,0.022098359608803863,4.23133919488454e-05,0.5733203590793602,0.790929914050819,29.40442441694904,29.184140375000425,0.2202840419486165,4508,12863,ok
1,0,0,0.5,0.022098359608803863,4.23133919488454e-05,0.5277617038948866,0.7888301660355322,29.403749625082128,29.184140375000425,0.21960925008170307,4508,12863,ok
2,0,0,0.5,0.022098359608803863,4.23133919488454e-05,0.5383728051091663,0.7902414134518472,29.423200875055045,29.184140375000425,0.2390605000546202,4508,12863,ok
3,0,0,0.5,0.022098359608803863,4.23133919488454e-05,0.5184920537401857,0.7943576649369357,29.669602792011574,29.184140375000425,0.4854624170111492,4508,12863,ok
4,0,0,0.5,0.022098359608803863,4.23133919488454e-05,0.5622640513620368,0.8007778978118039,29.4169994170079,29.184140375000425,0.2328590420074761,4508,12863,ok
42,0,0,0.5,0.022098359608803863,4.23133919488454e-05,0.5731841880964843,0.7998135120704853,29.421805249992758,29.184140375000425,0.23766487499233335,4508,12863,ok
0,0,10,0.5,0.022098359608803863,4.23133919488454e-05,0.47852204549028254,0.7727920117775444,32.31766958301887,32.1247555000009,0.19291408301796764,3820,10436,ok
1,0,10,0.5,0.022098359608803863,4.23133919488454e-05,0.4946479196767762,0.7746246869814859,32.30484362493735,32.1247555000009,0.18008812493644655,3820,10436,ok
2,0,10,0.5,0.022098359608803863,4.23133919488454e-05,0.49749149354742556,0.7772145861560066,32.353136499994434,32.1247555000009,0.2283809999935329,3820,10436,ok
3,0,10,0.5,0.022098359608803863,4.23133919488454e-05,0.5038589782313847,0.7785417045229927,32.30942841700744,32.1247555000009,0.18467291700653732,3820,10436,ok
4,0,10,0.5,0.022098359608803863,4.23133919488454e-05,0.4911963916316817,0.7829157316842829,32.30743375001475,32.1247555000009,0.18267825001385063,3820,10436,ok
42,0,10,0.5,0.022098359608803863,4.23133919488454e-05,0.47915435283125113,0.7717073761564125,32.322885792003945,32.1247555000009,0.198130292003043,3820,10436,ok
0,0,20,0.5,0.022098359608803863,4.23133919488454e-05,0.41648050833741285,0.7321599295450252,28.33855354192201,28.270017249975353,0.068536291946657,1579,4793,ok
1,0,20,0.5,0.022098359608803863,4.23133919488454e-05,0.4113570817283404,0.7280187694534539,28.34649237501435,28.270017249975353,0.07647512503899634,1579,4793,ok
2,0,20,0.5,0.022098359608803863,4.23133919488454e-05,0.4157317159605354,0.7274492952060129,28.347660291939974,28.270017249975353,0.07764304196462035,1579,4793,ok
3,0,20,0.5,0.022098359608803863,4.23133919488454e-05,0.4013259897573336,0.7274159157440262,28.340018457965925,28.270017249975353,0.07000120799057186,1579,4793,ok
4,0,20,0.5,0.022098359608803863,4.23133919488454e-05,0.4112063657308543,0.7292920125906879,28.34024725004565,28.270017249975353,0.07023000007029623,1579,4793,ok
42,0,20,0.5,0.022098359608803863,4.23133919488454e-05,0.42053407994516856,0.7348325897966425,28.359069416997954,28.270017249975353,0.08905216702260077,1579,4793,ok
0,0,30,0.5,0.022098359608803863,4.23133919488454e-05,0.15983776177468753,0.17803310064691316,42.522369708050974,42.51874891598709,0.003620792063884437,36,514,ok
1,0,30,0.5,0.022098359608803863,4.23133919488454e-05,0.1894423158790975,0.19351813268707196,42.52217745804228,42.51874891598709,0.0034285420551896095,36,514,ok
2,0,30,0.5,0.022098359608803863,4.23133919488454e-05,0.1894423158790975,0.19351813268707196,42.522095041000284,42.51874891598709,0.0033461250131949782,36,514,ok
3,0,30,0.5,0.022098359608803863,4.23133919488454e-05,0.15983776177468753,0.17803310064691316,42.521866041002795,42.51874891598709,0.003117125015705824,36,514,ok
4,0,30,0.5,0.022098359608803863,4.23133919488454e-05,0.1894423158790975,0.19351813268707196,42.522298916010186,42.51874891598709,0.0035500000230968,36,514,ok
42,0,30,0.5,0.022098359608803863,4.23133919488454e-05,0.15983776177468753,0.17803310064691316,42.52256700000726,42.51874891598709,0.003818084020167589,36,514,ok
0,0,40,0.5,0.022098359608803863,4.23133919488454e-05,0.40573994961112936,0.30215883912206715,28.019399374956265,28.01699358294718,0.002405792009085417,36,233,ok
1,0,40,0.5,0.022098359608803863,4.23133919488454e-05,0.40573994961112936,0.30215883912206715,28.019126791041344,28.01699358294718,0.002133208094164729,36,233,ok
2,0,40,0.5,0.022098359608803863,4.23133919488454e-05,0.40573994961112936,0.30215883912206715,28.019331123912707,28.01699358294718,0.002337540965527296,36,233,ok
3,0,40,0.5,0.022098359608803863,4.23133919488454e-05,0.40573994961112936,0.30215883912206715,28.01957295788452,28.01699358294718,0.002579374937340617,36,233,ok
4,0,40,0.5,0.022098359608803863,4.23133919488454e-05,0.21663442940038685,0.20367646508658066,28.0193300829269,28.01699358294718,0.0023364999797195196,36,233,ok
42,0,40,0.5,0.022098359608803863,4.23133919488454e-05,0.40573994961112936,0.30215883912206715,28.01933879184071,28.01699358294718,0.0023452088935300708,36,233,ok
0,0,50,0.5,0.022098359608803863,4.23133919488454e-05,0.1894423158790975,0.19351813268707196,28.04166999994777,28.040377374971285,0.0012926249764859676,36,75,ok
1,0,50,0.5,0.022098359608803863,4.23133919488454e-05,0.1894423158790975,0.19351813268707196,28.041489333030768,28.040377374971285,0.0011119580594822764,36,75,ok
2,0,50,0.5,0.022098359608803863,4.23133919488454e-05,0.18541505042668735,0.18681698233723282,28.041428499971516,28.040377374971285,0.001051125000230968,36,75,ok
3,0,50,0.5,0.022098359608803863,4.23133919488454e-05,0.1894423158790975,0.19351813268707196,28.041481916909106,28.040377374971285,0.0011045419378206134,36,75,ok
4,0,50,0.5,0.022098359608803863,4.23133919488454e-05,0.18541505042668735,0.18681698233723282,28.04142529098317,28.040377374971285,0.0010479160118848085,36,75,ok
42,0,50,0.5,0.022098359608803863,4.23133919488454e-05,0.1894423158790975,0.19351813268707196,28.041475625010207,28.040377374971285,0.001098250038921833,36,75,ok
0,10,0,0.5,0.022098359608803863,4.23133919488454e-05,0.21210018440390122,0.5780674984616727,2.3671741670696065,2.3505467500071973,0.016627417062409222,465,1175,ok
1,10,0,0.5,0.022098359608803863,4.23133919488454e-05,0.21210018440390122,0.5780674984616728,2.370186041924171,2.3505467500071973,0.01963929191697389,465,1175,ok
2,10,0,0.5,0.022098359608803863,4.23133919488454e-05,0.2112492047098957,0.5732438867468108,2.3653565420536324,2.3505467500071973,0.014809792046435177,465,1175,ok
