Method,ARI,NMI,Runtime (s),Input Nodes,Input Edges,Output Nodes,Output Edges,Edge Reduction (%)
ORC-only + Leiden,0.554 ± 0.018,0.801 ± 0.004,27.57 ± 0.00,4508,12863,4508,12863,0.0
ORC-only,0.549 ± 0.024,0.794 ± 0.005,27.68 ± 0.01,4508,12863,4508,12863,0.0
LRC→ORC combo,0.471 ± 0.019,0.783 ± 0.007,27.71 ± 0.14,4508,12863,4060,11206,12.88
LRC→ORC combo + Leiden,0.454 ± 0.013,0.779 ± 0.004,27.51 ± 0.01,4508,12863,4060,11206,12.88
Plain Louvain,0.449 ± 0.007,0.794 ± 0.004,0.25 ± 0.02,4508,12863,4508,12863,0.0
Plain Leiden,0.443 ± 0.007,0.795 ± 0.003,0.15 ± 0.00,4508,12863,4508,12863,0.0
LRC-only,0.187 ± 0.005,0.539 ± 0.003,0.10 ± 0.00,4508,12863,465,1175,90.87
LRC-only + Leiden,0.182 ± 0.004,0.536 ± 0.002,0.10 ± 0.00,4508,12863,465,1175,90.87
