method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
LRC→ORC combo + Leiden,leiden,3,0.6585072170524683,0.774832389159765,1759,1759,5378,1,8.29288062499836,8.227492584032007,0.06538804096635431,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
Plain Louvain,louvain,4,0.6476629285153446,0.7759754807741562,1760,1760,5600,1,0.10138462501345202,0.0,0.10138462501345202,0,0,,,,,,
Plain Leiden,leiden,4,0.719804337149714,0.8176926500697198,1760,1760,5600,1,0.06203016702784225,0.0,0.06203016702784225,0,0,,,,,,
LRC-only,louvain,4,0.6867321517357808,0.790059934424691,1760,1760,5038,1,0.15228341799229383,0.04537583398632705,0.10690758400596678,562,0,10.0,,,,-1.5777777777777777,
ORC-only,louvain,4,0.5810868414532837,0.7264537708074208,1760,1760,5600,1,8.442681208020076,8.316248750023078,0.12643245799699798,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,4,0.6152808393425017,0.7468884138098392,1759,1759,5378,1,8.369255292054731,8.227492584032007,0.14176270802272484,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
LRC-only + Leiden,leiden,4,0.7162323495392493,0.8166100054019967,1760,1760,5038,1,0.10387708398047835,0.04537583398632705,0.058501249994151294,562,0,10.0,,,,-1.5777777777777777,
ORC-only + Leiden,leiden,4,0.6425753613032851,0.7619659622859655,1760,1760,5600,1,8.380194083030801,8.316248750023078,0.06394533300772309,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,4,0.6546116937191409,0.7753181686600951,1759,1759,5378,1,8.291020126023795,8.227492584032007,0.0635275419917889,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
Plain Louvain,louvain,42,0.6540771771314287,0.7911708918309065,1760,1760,5600,1,0.15910175000317395,0.0,0.15910175000317395,0,0,,,,,,
Plain Leiden,leiden,42,0.727047604125135,0.8207746146102656,1760,1760,5600,1,0.06321595801273361,0.0,0.06321595801273361,0,0,,,,,,
LRC-only,louvain,42,0.6844465840028189,0.8034998135821135,1760,1760,5038,1,0.16590600000927225,0.04537583398632705,0.1205301660229452,562,0,10.0,,,,-1.5777777777777777,
ORC-only,louvain,42,0.6130470915785196,0.7436841783950011,1760,1760,5600,1,8.471522250038106,8.316248750023078,0.15527350001502782,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,42,0.6328566514756009,0.7601963833742524,1759,1759,5378,1,8.430161417054478,8.227492584032007,0.20266883302247152,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
LRC-only + Leiden,leiden,42,0.705227242924072,0.8148422226234956,1760,1760,5038,1,0.11286616697907448,0.04537583398632705,0.06749033299274743,562,0,10.0,,,,-1.5777777777777777,
ORC-only + Leiden,leiden,42,0.6580432426596089,0.7728829299532308,1760,1760,5600,1,8.379074541036971,8.316248750023078,0.06282579101389274,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,42,0.6551959376854952,0.7694727664941424,1759,1759,5378,1,8.28892529202858,8.227492584032007,0.0614327079965733,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
