seed,lrc_pct,orc_pct,alpha,p_in,p_out,ARI,NMI,Runtime,Prep_time,Community_time,V,E,status
0,0,0,0.5,0.02603755032951441,0.001020739906677268,0.6206682857443744,0.7548402964955405,7.989813709049486,7.872201792080887,0.11761191696859896,1760,5600,ok
1,0,0,0.5,0.02603755032951441,0.001020739906677268,0.6149189084073794,0.7434295412107267,7.988813875126652,7.872201792080887,0.11661208304576576,1760,5600,ok
2,0,0,0.5,0.02603755032951441,0.001020739906677268,0.5790562772957439,0.715477797970326,8.01554695807863,7.872201792080887,0.1433451659977436,1760,5600,ok
3,0,0,0.5,0.02603755032951441,0.001020739906677268,0.5635690387313622,0.7086382988256674,8.021592209115624,7.872201792080887,0.14939041703473777,1760,5600,ok
4,0,0,0.5,0.02603755032951441,0.001020739906677268,0.5810868414532837,0.7264537708074208,7.994931375142187,7.872201792080887,0.12272958306130022,1760,5600,ok
42,0,0,0.5,0.02603755032951441,0.001020739906677268,0.6130470915785196,0.7436841783950011,8.011936750030145,7.872201792080887,0.1397349579492584,1760,5600,ok
0,0,2,0.5,0.02603755032951441,0.001020739906677268,0.6171626608966133,0.7469571314718713,7.639617000008002,7.53576304204762,0.1038539579603821,1760,5488,ok
1,0,2,0.5,0.02603755032951441,0.001020739906677268,0.6257458306284148,0.7511719565947437,7.662415708997287,7.53576304204762,0.12665266694966704,1760,5488,ok
2,0,2,0.5,0.02603755032951441,0.001020739906677268,0.5744974517917035,0.7215263756435458,7.738612542045303,7.53576304204762,0.20284949999768287,1760,5488,ok
3,0,2,0.5,0.02603755032951441,0.001020739906677268,0.5742205556259702,0.7199065240178338,7.663405875093304,7.53576304204762,0.1276428330456838,1760,5488,ok
4,0,2,0.5,0.02603755032951441,0.001020739906677268,0.5675000526517558,0.7260461502205651,7.665105500025675,7.53576304204762,0.12934245797805488,1760,5488,ok
42,0,2,0.5,0.02603755032951441,0.001020739906677268,0.6002123513158806,0.7320549483500564,7.662804333958775,7.53576304204762,0.12704129191115499,1760,5488,ok
0,0,5,0.5,0.02603755032951441,0.001020739906677268,0.6074909869158586,0.7374466157479267,7.718306957976893,7.609007416991517,0.10929954098537564,1697,5253,ok
1,0,5,0.5,0.02603755032951441,0.001020739906677268,0.5894370934181135,0.7198628621195376,7.742283501080237,7.609007416991517,0.13327608408872038,1697,5253,ok
2,0,5,0.5,0.02603755032951441,0.001020739906677268,0.619117641178979,0.7326870851645314,7.722349375952035,7.609007416991517,0.11334195896051824,1697,5253,ok
3,0,5,0.5,0.02603755032951441,0.001020739906677268,0.5810433075404184,0.7114027849849006,7.763370833941735,7.609007416991517,0.15436341695021838,1697,5253,ok
4,0,5,0.5,0.02603755032951441,0.001020739906677268,0.6294546886210414,0.7318330316167807,7.7419421669328585,7.609007416991517,0.13293474994134158,1697,5253,ok
42,0,5,0.5,0.02603755032951441,0.001020739906677268,0.614246972521757,0.732673765033338,9.162431583972648,7.609007416991517,1.5534241669811308,1697,5253,ok
0,0,10,0.5,0.02603755032951441,0.001020739906677268,0.6374513055436678,0.7430066138364471,7.838914167019539,7.718770541949198,0.12014362507034093,1692,4971,ok
1,0,10,0.5,0.02603755032951441,0.001020739906677268,0.5362924039844901,0.6741062994450137,7.8730490419548005,7.718770541949198,0.15427850000560284,1692,4971,ok
2,0,10,0.5,0.02603755032951441,0.001020739906677268,0.5702734145011952,0.690088460273744,7.81478412495926,7.718770541949198,0.09601358301006258,1692,4971,ok
3,0,10,0.5,0.02603755032951441,0.001020739906677268,0.5924295670500043,0.7122533545178166,7.820154582965188,7.718770541949198,0.10138404101599008,1692,4971,ok
4,0,10,0.5,0.02603755032951441,0.001020739906677268,0.612000759491849,0.7266403381571296,7.882173541933298,7.718770541949198,0.16340299998410046,1692,4971,ok
42,0,10,0.5,0.02603755032951441,0.001020739906677268,0.5735240468385253,0.7029203290930922,7.857987958937883,7.718770541949198,0.13921741698868573,1692,4971,ok
0,0,20,0.5,0.02603755032951441,0.001020739906677268,0.6317380960519611,0.7545891327622023,7.548731750110164,7.462014292017557,0.08671745809260756,1549,4263,ok
1,0,20,0.5,0.02603755032951441,0.001020739906677268,0.6258480080955121,0.7472591677942658,7.547610708978027,7.462014292017557,0.08559641696047038,1549,4263,ok
2,0,20,0.5,0.02603755032951441,0.001020739906677268,0.6170261942066937,0.7487466088397108,7.539326291996986,7.462014292017557,0.07731199997942895,1549,4263,ok
3,0,20,0.5,0.02603755032951441,0.001020739906677268,0.6317380960519611,0.7545891327622023,7.539329834049568,7.462014292017557,0.07731554203201085,1549,4263,ok
4,0,20,0.5,0.02603755032951441,0.001020739906677268,0.6311386804064938,0.7503534771821806,7.536820249981247,7.462014292017557,0.07480595796369016,1549,4263,ok
42,0,20,0.5,0.02603755032951441,0.001020739906677268,0.6069630719070468,0.7308744586799844,7.542076791985892,7.462014292017557,0.08006249996833503,1549,4263,ok
0,0,30,0.5,0.02603755032951441,0.001020739906677268,0.3616275358051633,0.5544299060042527,8.228647624957375,8.198501499951817,0.030146125005558133,650,2202,ok
