method,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,n_eval_mean,Output_Nodes,Output_Edges,Prep_Time_mean,Community_Time_mean
LRC-only + Leiden,0.7057537664027969,0.010097333764028792,0.812173889192617,0.004899421298722219,0.10677379898455304,0.003104356812748446,1760.0,1760.0,5038.0,0.04537583398632705,0.061397964998225994
Plain Leiden,0.7046540790711209,0.020098173927503658,0.8085030599357482,0.010579503530153302,0.06223756933468394,0.0011691010848951064,1760.0,1760.0,5600.0,0.0,0.06223756933468394
LRC-only,0.6922914290234434,0.012511302389678737,0.7988673198156437,0.005626453594410726,0.16263299382990226,0.01921214516467167,1760.0,1760.0,5038.0,0.04537583398632705,0.11725715984357521
Plain Louvain,0.6609074818521645,0.012210167793527182,0.7866023206322498,0.007095295568822175,0.23141729149695797,0.29502677633503116,1760.0,1760.0,5600.0,0.0,0.23141729149695797
LRC→ORC combo + Leiden,0.659733226265211,0.005598690635651168,0.7735926887449276,0.005734898287503752,8.2910073895182,0.001353117558339348,1759.0,1759.0,5378.0,8.227492584032007,0.06351480548619293
ORC-only + Leiden,0.6540190128569074,0.01605487780099995,0.7684533323203674,0.00927600946324711,8.380648312352909,0.001293272044394775,1760.0,1760.0,5600.0,8.316248750023078,0.06439956232982998
LRC→ORC combo,0.6209072029153874,0.02577902434537203,0.7514288457147892,0.013720530205585996,8.394252028384168,0.053411306101803335,1759.0,1759.0,5378.0,8.227492584032007,0.16675944435216175
ORC-only,0.5953910738684439,0.023732202964340678,0.7320873139507804,0.018101385243272917,8.457172930521969,0.016529286266356746,1760.0,1760.0,5600.0,8.316248750023078,0.14092418049888997
