lrc_pct,orc_pct,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,Prep_time_mean,Community_time_mean,V_mean,E_mean
0,0,0.5953910738684439,0.023732202964340678,0.7320873139507804,0.018101385243272917,8.003772479423787,0.014280116709720698,7.872201792080887,0.13157068734290078,1760.0,5600.0
0,2,0.5932231504850564,0.024710734411507063,0.732943847716436,0.013246395173595238,7.671993493354724,0.034010884178376374,7.53576304204762,0.1362304513071043,1760.0,5488.0
0,5,0.6067984483660279,0.018361763424962697,0.7276510241111692,0.009886287286012123,7.975114069976068,0.5818895377215295,7.609007416991517,0.36610665298455086,1697.0,5253.0
0,10,0.5869952495682886,0.03530578575506267,0.7081692325538739,0.024844531208358757,7.847843902961661,0.02777089326134955,7.718770541949198,0.12907336101246378,1692.0,4971.0
0,20,0.6240753577866114,0.010129056878081794,0.7477353296700909,0.008790248190828801,7.542315937850314,0.0048437964941635036,7.462014292017557,0.08030164583275716,1549.0,4263.0
0,30,0.397705887667194,0.10231182690967648,0.5561921371317924,0.024289803949708234,8.233978013624437,0.00561767206965344,8.198501499951817,0.03547651367262006,650.0,2202.0
2,0,0.6195969696232769,0.021173716986020618,0.7461981154863638,0.010267575030593817,8.501204208723115,0.03584309427506777,8.341028542025015,0.16017566669809943,1760.0,5488.0
2,2,0.6209072029153874,0.02577902434537203,0.7514288457147892,0.013720530205585996,9.067002764398543,0.06482993864070345,8.904155584052205,0.16284718034633747,1759.0,5378.0
2,5,0.6275736334002254,0.027001959791937806,0.7389300072968713,0.012269770512713718,8.499981438469453,0.028320544332488356,8.342809083987959,0.15717235448149344,1697.0,5146.0
2,10,0.5937948601245486,0.015299120088752007,0.7187695177201133,0.008973035992616535,8.117382923567979,0.011963111036967362,8.018436375074089,0.09894654849388947,1690.0,4869.0
2,20,0.5996031654927244,0.005342816154551699,0.7316655152259156,0.006183585065599243,7.782630034295532,0.007945119888946793,7.70684708293993,0.07578295135560136,1556.0,4177.0
2,30,0.5797123913912213,0.021086229071981287,0.6164639666262365,0.0096699767162068,11.602233284754524,0.011679027887763494,11.53371312492527,0.0685201598292527,671.0,2172.0
5,0,0.5935657536617477,0.03191732583932695,0.7348493966840559,0.011435912962817596,13.149261957694156,0.04283874627678137,12.933605041005649,0.2156569166885068,1760.0,5320.0
5,2,0.5873308054648528,0.02569946674661824,0.7316927831174819,0.0138113847063813,11.737849436836163,0.06381669710079411,11.49713391601108,0.24071552082508182,1759.0,5213.0
5,5,0.605161110432214,0.015818801829270215,0.7303811127440372,0.008899383017436951,13.403144562830372,0.08343987021133677,13.150235041975975,0.2529095208543974,1696.0,4987.0
5,10,0.6003429920688396,0.012130268280360632,0.7282463307261321,0.008106289576681788,13.075494895650385,0.032664822620471295,12.858637582976371,0.2168573126740133,1691.0,4719.0
5,20,0.5925949252084258,0.017219168544687257,0.7297039494529662,0.010737748474492517,12.83973907599769,0.04597860436625717,12.676928916014731,0.1628101599829582,1591.0,4098.0
5,30,0.5953215410789869,0.0052266771856868755,0.6611268147178734,0.004659367962277376,11.577894250183212,0.014542524607748835,11.508999292040244,0.06889495814296727,878.0,2398.0
10,0,0.5643348867459044,0.045150076377519145,0.7161629496248519,0.018905723540651405,10.934822193870787,0.04370730241672861,10.742486916016787,0.1923352778539993,1760.0,5038.0
10,2,0.5871766148118859,0.03261057835253596,0.7364247761229586,0.014664416968139884,10.29926590245062,0.4436673284016273,9.880676749977283,0.41858915247333545,1759.0,4937.0
10,5,0.6062643661513092,0.009703434864065835,0.7403184148455453,0.0101872992755344,10.486141396317786,0.03713919053586725,10.229730166960508,0.2564112293572786,1752.0,4784.0
10,10,0.5885124173579551,0.006507709029242435,0.7149009843782803,0.003668592411127017,10.770675639001032,0.012430550019504855,10.660735749988817,0.10993988901221503,1692.0,4465.0
10,20,0.5186780584205147,0.012765775358203632,0.7151649065538267,0.006596983276079035,7.5586422916385345,0.036025315354534494,7.413119249977171,0.1455230416613631,1570.0,3861.0
10,30,0.39168525870768156,0.02217462104247413,0.6240670393847733,0.008567148384270636,10.869837395090144,0.41104678966420066,10.624391916091554,0.24544547899859026,771.0,2004.0
20,0,0.5984092372849197,0.010190229125685863,0.7528153118431985,0.00559357388285029,8.635607068931373,0.024815559540620678,8.482826082967222,0.1527809859641517,1755.0,4480.0
20,2,0.6002711492679754,0.022102829546209127,0.7501368597453664,0.007576477364507244,9.046176896023098,0.031947741762482336,8.864985542022623,0.18119135400047526,1754.0,4390.0
20,5,0.6064390572628301,0.015077200836114128,0.7445376604055647,0.00424738666208836,8.933827964336766,0.020787351751465816,8.779996666009538,0.15383129832722867,1700.0,4165.0
20,10,0.564955688053637,0.011550604693988043,0.7114559075595898,0.006817821893697876,7.8537719868278755,0.024270865309229856,7.715462959022261,0.13830902780561397,1575.0,3762.0
20,20,0.38667017235133877,0.007700349311765734,0.6619756868840985,0.007165237293177491,10.03795069428937,0.03339714484576988,9.916970249963924,0.1209804443254446,1336.0,3029.0
20,30,0.3657677475075394,0.026451036858885783,0.6323553326070165,0.010342933585357927,8.901977298567848,0.010729379286465187,8.858534750062972,0.043442548504875354,555.0,1376.0
30,0,0.6660929959976092,0.015349090968164737,0.7830252598923767,0.012473029076223458,7.31567400736579,0.061591442489867275,7.154132792027667,0.16154121533812335,1710.0,3904.0
30,2,0.6601574850677161,0.007108385699501097,0.7726596098806778,0.0038050305741147393,7.959801812733834,0.04233075091474172,7.7847181669203565,0.17508364581347755,1655.0,3734.0
30,5,0.6139815887039106,0.013931202737403512,0.7577581466761208,0.006415876950502893,8.07819953506502,0.026994605739971787,7.962206667056307,0.11599286800871293,1645.0,3614.0
30,10,0.5605435784075784,0.0100196605055127,0.74527420221296,0.006256461535832961,9.784505638410337,0.018182874052038552,9.616153082926758,0.16835255548357964,1619.0,3405.0
30,20,0.3629671254375684,0.004371721319538027,0.5899011909283298,0.003828939084824776,9.60979008366121,0.013358730787975129,9.553136167000048,0.05665391666116193,894.0,1932.0
30,30,0.28563179627456137,0.0,0.5113097675826511,8.599750569898517e-17,7.1768256388992695,0.0015419427890821724,7.1695250000339,0.007300638865369062,146.0,362.0
