Method,ARI,NMI,Runtime (s),Input Nodes,Input Edges,Output Nodes,Output Edges,Edge Reduction (%)
LRC-only + Leiden,0.706 ± 0.010,0.812 ± 0.005,0.11 ± 0.00,1760,5600,1760,5038,10.04
Plain Leiden,0.705 ± 0.020,0.809 ± 0.011,0.06 ± 0.00,1760,5600,1760,5600,0.0
LRC-only,0.692 ± 0.013,0.799 ± 0.006,0.16 ± 0.02,1760,5600,1760,5038,10.04
Plain Louvain,0.661 ± 0.012,0.787 ± 0.007,0.23 ± 0.30,1760,5600,1760,5600,0.0
LRC→ORC combo + Leiden,0.660 ± 0.006,0.774 ± 0.006,8.29 ± 0.00,1760,5600,1759,5378,3.96
ORC-only + Leiden,0.654 ± 0.016,0.768 ± 0.009,8.38 ± 0.00,1760,5600,1760,5600,0.0
LRC→ORC combo,0.621 ± 0.026,0.751 ± 0.014,8.39 ± 0.05,1760,5600,1759,5378,3.96
ORC-only,0.595 ± 0.024,0.732 ± 0.018,8.46 ± 0.02,1760,5600,1760,5600,0.0
