method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
Plain Louvain,louvain,42,0.6540771771314287,0.7911708918309065,1760,1760,5600,1,0.16377291700337082,0.0,0.16377291700337082,0,0,,,,,,
Plain Leiden,leiden,42,0.727047604125135,0.8207746146102656,1760,1760,5600,1,0.06289229105459526,0.0,0.06289229105459526,0,0,,,,,,
LRC-only,louvain,42,0.6844465840028189,0.8034998135821135,1760,1760,5038,1,0.16637149994494393,0.04537583398632705,0.12099566595861688,562,0,10.0,,,,-1.5777777777777777,
LRC-only + Leiden,leiden,42,0.705227242924072,0.8148422226234956,1760,1760,5038,1,0.10483358398778364,0.04537583398632705,0.05945775000145659,562,0,10.0,,,,-1.5777777777777777,
ORC-only,louvain,42,0.6130470915785196,0.7436841783950011,1760,1760,5600,1,8.46590287500294,8.316248750023078,0.14965412497986108,0,0,,0.0,0.5,5.0,,
ORC-only + Leiden,leiden,42,0.6580432426596089,0.7728829299532308,1760,1760,5600,1,8.380435416998807,8.316248750023078,0.06418666697572917,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,42,0.6328566514756009,0.7601963833742524,1759,1759,5378,1,8.406988667033147,8.227492584032007,0.1794960830011405,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
LRC→ORC combo + Leiden,leiden,42,0.6551959376854952,0.7694727664941424,1759,1759,5378,1,8.290709417022299,8.227492584032007,0.06321683299029246,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
