method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
LRC→ORC combo + Leiden,leiden,2,0.5892546028916957,0.7231173994236993,1708,1708,40312,1,81.78539304307196,81.59980683401227,0.18558620905969292,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
Plain Louvain,louvain,3,0.6310905214554497,0.7695184927466704,1771,1771,42220,1,0.36123120796401054,0.0,0.36123120796401054,0,0,,,,,,
Plain Leiden,leiden,3,0.6260203445454732,0.7682544966223941,1771,1771,42220,1,0.18632895895279944,0.0,0.18632895895279944,0,0,,,,,,
LRC-only,louvain,3,0.5172963227985626,0.7087520794372382,1104,1104,17954,1,0.7993854579981416,0.6239426250103861,0.17544283298775554,4222,0,10.0,,,,-0.9100579975579974,
ORC-only,louvain,3,0.5812335843657719,0.734488493747867,1771,1771,42220,1,79.52053691702895,79.04824095894583,0.47229595808312297,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,3,0.582271014036885,0.7199486628453342,1708,1708,40312,1,81.98743641702458,81.59980683401227,0.38762958301231265,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
LRC-only + Leiden,leiden,3,0.5405218476586061,0.7023574812041751,1104,1104,17954,1,0.7151285409927368,0.6239426250103861,0.09118591598235071,4222,0,10.0,,,,-0.9100579975579974,
ORC-only + Leiden,leiden,3,0.5813002155169971,0.7330406730589873,1771,1771,42220,1,79.24633312597871,79.04824095894583,0.19809216703288257,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,3,0.5849876274800304,0.7219141713817958,1708,1708,40312,1,81.78425516700372,81.59980683401227,0.18444833299145103,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
Plain Louvain,louvain,4,0.6454554935710468,0.7692872734919973,1771,1771,42220,1,0.37020970799494535,0.0,0.37020970799494535,0,0,,,,,,
Plain Leiden,leiden,4,0.6260203445454732,0.7682544966223941,1771,1771,42220,1,0.34371599997393787,0.0,0.34371599997393787,0,0,,,,,,
LRC-only,louvain,4,0.5569906838983292,0.7133419094636876,1104,1104,17954,1,0.7970492920139804,0.6239426250103861,0.17310666700359434,4222,0,10.0,,,,-0.9100579975579974,
ORC-only,louvain,4,0.5835399219007806,0.7356119090362587,1771,1771,42220,1,79.48378412600141,79.04824095894583,0.4355431670555845,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,4,0.582075487329146,0.7209204876807345,1708,1708,40312,1,81.97816491697449,81.59980683401227,0.3783580829622224,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
LRC-only + Leiden,leiden,4,0.5569906838983292,0.7133419094636877,1104,1104,17954,1,0.7127228750614449,0.6239426250103861,0.08878025005105883,4222,0,10.0,,,,-0.9100579975579974,
ORC-only + Leiden,leiden,4,0.5813002155169971,0.7330406730589873,1771,1771,42220,1,79.24061700003222,79.04824095894583,0.19237604108639061,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,4,0.5839378728990984,0.7206568343183722,1708,1708,40312,1,81.78199958393816,81.59980683401227,0.18219274992588907,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
Plain Louvain,louvain,42,0.6394514075589295,0.7693663860216282,1771,1771,42220,1,0.3311962919542566,0.0,0.3311962919542566,0,0,,,,,,
Plain Leiden,leiden,42,0.6842703968052842,0.7844951240142585,1771,1771,42220,1,0.18726329202763736,0.0,0.18726329202763736,0,0,,,,,,
LRC-only,louvain,42,0.49919476405373786,0.7057929628844339,1104,1104,17954,1,0.8033362911082804,0.6239426250103861,0.1793936660978943,4222,0,10.0,,,,-0.9100579975579974,
ORC-only,louvain,42,0.5835433744805282,0.7356688478010092,1771,1771,42220,1,79.47630316694267,79.04824095894583,0.42806220799684525,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,42,0.5834187390661514,0.7212358840181191,1708,1708,40312,1,81.95626679202542,81.59980683401227,0.3564599580131471,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
LRC-only + Leiden,leiden,42,0.5399658827481026,0.7061016872515308,1104,1104,17954,1,0.7151667090365663,0.6239426250103861,0.09122408402618021,4222,0,10.0,,,,-0.9100579975579974,
ORC-only + Leiden,leiden,42,0.5821061186498389,0.7334414865525577,1771,1771,42220,1,79.24608991690911,79.04824095894583,0.19784895796328783,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,42,0.5836521062466661,0.7202800737606185,1708,1708,40312,1,81.78647654200904,81.59980683401227,0.18666970799677074,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
