seed,lrc_pct,orc_pct,alpha,p_in,p_out,ARI,NMI,Runtime,Prep_time,Community_time,V,E,status
0,0,0,0.5,0.2841610899895061,0.006329092115718187,0.5840757023302594,0.735776607255559,138.13791195803788,137.69246179098263,0.44545016705524176,1771,42220,ok
1,0,0,0.5,0.2841610899895061,0.006329092115718187,0.5840757023302594,0.735776607255559,138.58164641598705,137.69246179098263,0.8891846250044182,1771,42220,ok
2,0,0,0.5,0.2841610899895061,0.006329092115718187,0.5788224803091553,0.7339760701191496,138.28055708296597,137.69246179098263,0.5880952919833362,1771,42220,ok
3,0,0,0.5,0.2841610899895061,0.006329092115718187,0.5812335843657719,0.734488493747867,138.49488445697352,137.69246179098263,0.8024226659908891,1771,42220,ok
4,0,0,0.5,0.2841610899895061,0.006329092115718187,0.5835399219007806,0.7356119090362587,138.3953970829025,137.69246179098263,0.7029352919198573,1771,42220,ok
42,0,0,0.5,0.2841610899895061,0.006329092115718187,0.5835433744805282,0.7356688478010092,138.19106495694723,137.69246179098263,0.498603165964596,1771,42220,ok
0,0,2,0.5,0.2841610899895061,0.006329092115718187,0.5117391446953496,0.6922905622728351,133.35429520905018,132.85663604200818,0.4976591670420021,1726,41224,ok
1,0,2,0.5,0.2841610899895061,0.006329092115718187,0.5755550858553535,0.7205601663376834,133.17965454200748,132.85663604200818,0.3230184999993071,1726,41224,ok
2,0,2,0.5,0.2841610899895061,0.006329092115718187,0.5764402908786731,0.7207445944161145,133.17683500098065,132.85663604200818,0.32019895897246897,1726,41224,ok
3,0,2,0.5,0.2841610899895061,0.006329092115718187,0.5773658808168793,0.7217059452905784,133.21884025004692,132.85663604200818,0.3622042080387473,1726,41224,ok
4,0,2,0.5,0.2841610899895061,0.006329092115718187,0.5771607649193775,0.7220869047587409,133.2468112920178,132.85663604200818,0.3901752500096336,1726,41224,ok
42,0,2,0.5,0.2841610899895061,0.006329092115718187,0.5779881183667223,0.7220544113385915,133.15343549998943,132.85663604200818,0.2967994579812512,1726,41224,ok
0,0,5,0.5,0.2841610899895061,0.006329092115718187,0.6014338561355522,0.7304736678123525,94.58770566689782,94.17690812493674,0.4107975419610739,1689,39815,ok
1,0,5,0.5,0.2841610899895061,0.006329092115718187,0.6002958055821652,0.7298419049329636,94.58889916690532,94.17690812493674,0.4119910419685766,1689,39815,ok
2,0,5,0.5,0.2841610899895061,0.006329092115718187,0.6029191671391858,0.7325429020098401,94.79616779193748,94.17690812493674,0.6192596670007333,1689,39815,ok
3,0,5,0.5,0.2841610899895061,0.006329092115718187,0.5922254244272241,0.7221941091951581,94.70734649989754,94.17690812493674,0.530438374960795,1689,39815,ok
4,0,5,0.5,0.2841610899895061,0.006329092115718187,0.6008308137567416,0.7302040622396574,94.56830991688184,94.17690812493674,0.39140179194509983,1689,39815,ok
42,0,5,0.5,0.2841610899895061,0.006329092115718187,0.6011259260229241,0.7292164746997283,94.61612858297303,94.17690812493674,0.4392204580362886,1689,39815,ok
0,0,10,0.5,0.2841610899895061,0.006329092115718187,0.011302741446290556,0.046610695417188035,79.29976833297405,79.21551699994598,0.08425133302807808,229,8285,ok
1,0,10,0.5,0.2841610899895061,0.006329092115718187,0.027256243236263328,0.09368266561416908,79.28285295888782,79.21551699994598,0.06733595894183964,229,8285,ok
2,0,10,0.5,0.2841610899895061,0.006329092115718187,-0.004341218325862049,0.029155637198760367,79.30520762491506,79.21551699994598,0.08969062496908009,229,8285,ok
3,0,10,0.5,0.2841610899895061,0.006329092115718187,0.01455375956160046,0.050792555077573937,79.30230324994773,79.21551699994598,0.08678625000175089,229,8285,ok
4,0,10,0.5,0.2841610899895061,0.006329092115718187,-0.004482565965399394,0.029340432300563442,79.28712370886933,79.21551699994598,0.07160670892335474,229,8285,ok
42,0,10,0.5,0.2841610899895061,0.006329092115718187,0.03372339835684108,0.09718183482651202,79.28298433288,79.21551699994598,0.0674673329340294,229,8285,ok
0,0,20,0.5,0.2841610899895061,0.006329092115718187,0.025482475160211387,0.08871703885329685,79.0754695830401,79.00457841600291,0.070891167037189,227,8200,ok
1,0,20,0.5,0.2841610899895061,0.006329092115718187,-0.005117245263414354,0.029038563164202655,79.07975495699793,79.00457841600291,0.0751765409950167,227,8200,ok
2,0,20,0.5,0.2841610899895061,0.006329092115718187,0.029497617552901093,0.08897289583746347,79.07125308306422,79.00457841600291,0.06667466706130654,227,8200,ok
3,0,20,0.5,0.2841610899895061,0.006329092115718187,0.03453949310803413,0.09805378998544821,79.09172262402717,79.00457841600291,0.08714420802425593,227,8200,ok
4,0,20,0.5,0.2841610899895061,0.006329092115718187,0.026703341636109334,0.08639072624151534,79.07277545810211,79.00457841600291,0.06819704209920019,227,8200,ok
42,0,20,0.5,0.2841610899895061,0.006329092115718187,0.028418323084422915,0.09121228537082486,79.080381916021,79.00457841600291,0.07580350001808256,227,8200,ok
0,0,30,0.5,0.2841610899895061,0.006329092115718187,0.027347475374264223,0.08688586971276484,80.25708429096267,80.1980741659645,0.05901012499816716,227,7836,ok
1,0,30,0.5,0.2841610899895061,0.006329092115718187,0.037856818985664814,0.10918209858870956,80.26634445798118,80.1980741659645,0.06827029201667756,227,7836,ok
