Method,ARI,NMI,Runtime (s),Input Nodes,Input Edges,Output Nodes,Output Edges,Edge Reduction (%)
Plain Louvain,0.646 ± 0.020,0.772 ± 0.005,0.35 ± 0.03,1771,42220,1771,42220,0.0
Plain Leiden,0.635 ± 0.024,0.770 ± 0.007,0.21 ± 0.06,1771,42220,1771,42220,0.0
LRC→ORC combo + Leiden,0.586 ± 0.003,0.722 ± 0.002,81.78 ± 0.00,1771,42220,1708,40312,4.52
LRC→ORC combo,0.583 ± 0.001,0.721 ± 0.001,81.96 ± 0.03,1771,42220,1708,40312,4.52
ORC-only + Leiden,0.583 ± 0.001,0.734 ± 0.001,79.27 ± 0.06,1771,42220,1771,42220,0.0
ORC-only,0.583 ± 0.002,0.735 ± 0.001,79.48 ± 0.03,1771,42220,1771,42220,0.0
LRC-only + Leiden,0.540 ± 0.016,0.706 ± 0.007,0.71 ± 0.00,1771,42220,1104,17954,57.48
LRC-only,0.525 ± 0.023,0.706 ± 0.006,0.79 ± 0.01,1771,42220,1104,17954,57.48
