method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
Plain Louvain,louvain,42,0.6394514075589295,0.7693663860216282,1771,1771,42220,1,0.3254388340283185,0.0,0.3254388340283185,0,0,,,,,,
Plain Leiden,leiden,42,0.6842703968052842,0.7844951240142585,1771,1771,42220,1,0.1834148750640452,0.0,0.1834148750640452,0,0,,,,,,
LRC-only,louvain,42,0.49919476405373786,0.7057929628844339,1104,1104,17954,1,0.7901557079749182,0.6239426250103861,0.16621308296453208,4222,0,10.0,,,,-0.9100579975579974,
LRC-only + Leiden,leiden,42,0.5399658827481026,0.7061016872515308,1104,1104,17954,1,0.7138632079586387,0.6239426250103861,0.08992058294825256,4222,0,10.0,,,,-0.9100579975579974,
ORC-only,louvain,42,0.5835433744805282,0.7356688478010092,1771,1771,42220,1,79.51991608401295,79.04824095894583,0.4716751250671223,0,0,,0.0,0.5,5.0,,
ORC-only + Leiden,leiden,42,0.5821061186498389,0.7334414865525577,1771,1771,42220,1,79.24253758392297,79.04824095894583,0.19429662497714162,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,42,0.5834187390661514,0.7212358840181191,1708,1708,40312,1,81.9268445429625,81.59980683401227,0.327037708950229,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
LRC→ORC combo + Leiden,leiden,42,0.5836521062466661,0.7202800737606185,1708,1708,40312,1,81.7814864590764,81.59980683401227,0.1816796250641346,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
