method,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,n_eval_mean,Output_Nodes,Output_Edges,Prep_Time_mean,Community_Time_mean
Plain Louvain,0.6462256180578599,0.020259027655711977,0.7716853973129155,0.004909698648333272,0.35094445815775543,0.03302413336141218,1771.0,1771.0,42220.0,0.0,0.35094445815775543
Plain Leiden,0.6348682089176237,0.024402290598672625,0.7704759821212548,0.006976626455503367,0.2115333198259274,0.06480868437198928,1771.0,1771.0,42220.0,0.0,0.2115333198259274
LRC→ORC combo + Leiden,0.5858002549489023,0.002630017628034185,0.7217838391237179,0.001540055585892062,81.78447734783792,0.0017291907632028829,1708.0,1708.0,40312.0,81.59980683401227,0.18467051382564628
LRC→ORC combo,0.5830792306297774,0.0007117736438854304,0.7206855423301993,0.0005302272755973723,81.95929211835998,0.027310421506161645,1708.0,1708.0,40312.0,81.59980683401227,0.35948528434770805
ORC-only + Leiden,0.5827306058906839,0.0013433197282163181,0.7337631140478255,0.0006963595056147736,79.26986509765266,0.06260805823927415,1771.0,1771.0,42220.0,79.04824095894583,0.2216241387068294
ORC-only,0.5825484609527924,0.0021094839361799045,0.7352164225359004,0.000781929213028892,79.47926580614876,0.025768860659906166,1771.0,1771.0,42220.0,79.04824095894583,0.4310248472029343
LRC-only + Leiden,0.5398653707595081,0.016160577083735254,0.7059230135880977,0.007063156387283005,0.7135572568319427,0.0017340994805482384,1104.0,1104.0,17954.0,0.6239426250103861,0.08961463182155664
LRC-only,0.5253064954927232,0.02303750299185933,0.7059830887564448,0.005800489468325947,0.7923822430117676,0.011096154298723956,1104.0,1104.0,17954.0,0.6239426250103861,0.16843961800138155
